                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5829,                 6.3101,                 5.2952,                 2.1804,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.0625,                 5.8088,                 5.4363,                 2.3079,                  0.001,                  0.001,                  0.001
                      2,                 4.3452,                 5.5992,                 4.2218,                 2.1103,                0.03843,                0.03084,                0.01177,                0.00375,                0.02091,                0.03701,                0.01118,                0.00323,                 3.9913,                 5.0413,                  3.564,                  1.795,              0.0020996,              0.0020996,              0.0020996
                      3,                 3.8858,                 5.0305,                 3.5251,                 1.7595,                0.07236,                0.03624,                0.02258,                0.00845,                 0.0579,                0.01773,                0.01073,                0.00308,                 3.5796,                 4.7106,                 3.0252,                 1.5949,              0.0031987,              0.0031987,              0.0031987
                      4,                 3.6451,                 4.6235,                 3.1114,                 1.5183,                0.02424,                0.12336,                0.02267,                0.00878,                0.02106,                0.10717,                0.01963,                0.00558,                 3.3809,                 4.3814,                 2.9034,                  1.387,              0.0042974,              0.0042974,              0.0042974
                      5,                 3.4705,                 4.5004,                 2.9827,                 1.4472,                0.09682,                0.05705,                0.03275,                0.01267,                0.07311,                 0.0532,                0.02691,                0.00889,                 3.4004,                 4.2697,                 4.8041,                 1.3729,              0.0053957,              0.0053957,              0.0053957
                      6,                 3.3756,                 4.4572,                  3.133,                 1.3546,                 0.0542,                0.06708,                 0.0277,                0.00911,                0.05319,                0.06862,                0.02019,                0.00674,                 3.0016,                 4.0044,                 3.6973,                 1.2425,              0.0064936,              0.0064936,              0.0064936
                      7,                 3.2818,                 4.2266,                 2.8686,                 1.2937,                   0.03,                0.15266,                0.02534,                0.00888,                0.02333,                0.11874,                0.01971,                0.00639,                 3.0814,                 4.0448,                 2.8782,                 1.2424,               0.007591,               0.007591,               0.007591
                      8,                 3.1935,                 4.2319,                 2.9347,                 1.2687,                0.09576,                0.07864,                0.03754,                0.01185,                0.06155,                0.06862,                0.02578,                0.00779,                 3.2025,                 3.9533,                 3.0778,                 1.2638,              0.0086879,              0.0086879,              0.0086879
                      9,                 3.2121,                 4.1402,                 2.9465,                 1.2721,                0.02712,                0.13801,                0.01581,                0.00548,                0.02439,                0.12413,                0.01385,                0.00526,                 3.2064,                 4.2468,                    inf,                 1.2962,              0.0097845,              0.0097845,              0.0097845
                     10,                 3.1955,                 4.1355,                 2.9019,                 1.2713,                0.09313,                0.10023,                0.04125,                0.01397,                0.08355,                 0.0771,                0.03179,                0.00902,                 3.1465,                 4.3243,                 3.6371,                 1.2443,              0.0099822,              0.0099822,              0.0099822
