                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6462,                 6.2319,                 5.4213,                 2.1943,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.8324,                 5.6718,                 5.3089,                 2.1928,                  0.001,                  0.001,                  0.001
                      2,                 4.3248,                 5.6345,                 4.3118,                 2.0656,                0.01301,                0.05937,                0.01336,                 0.0046,                0.01106,                0.05628,                0.00888,                 0.0029,                 4.0848,                 4.9469,                 3.4073,                 1.8282,              0.0020996,              0.0020996,              0.0020996
                      3,                 3.9095,                 5.0903,                 3.4742,                 1.7472,                0.06603,                0.04318,                0.02248,                0.00882,                0.04254,                0.03315,                0.01468,                0.00506,                 3.4433,                  4.552,                 3.0234,                 1.4749,              0.0031987,              0.0031987,              0.0031987
                      4,                 3.6258,                  4.645,                 3.0733,                  1.539,                0.10744,                0.05783,                0.03096,                 0.0124,                0.07449,                0.04009,                0.02173,                0.00747,                 3.3056,                 4.3189,                 2.7155,                 1.3624,              0.0042974,              0.0042974,              0.0042974
                      5,                 3.5076,                 4.5477,                 3.0503,                 1.4376,                0.01879,                0.09561,                0.01739,                0.00524,                0.01697,                0.08635,                0.01346,                0.00404,                 3.2835,                 4.3079,                 3.2756,                 1.3744,              0.0053957,              0.0053957,              0.0053957
                      6,                 3.3985,                 4.3791,                 2.8984,                 1.3822,                 0.0779,                0.09946,                0.03329,                0.01241,                0.05027,                0.07093,                0.01974,                0.00693,                 3.0649,                 4.0131,                 6.8681,                 1.2393,              0.0064936,              0.0064936,              0.0064936
                      7,                 3.3889,                 4.2038,                 3.2115,                 1.2998,                0.01561,                0.07941,                0.01418,                 0.0044,                0.01439,                0.07325,                0.00833,                0.00279,                 3.1414,                 3.9016,                 3.2055,                 1.2725,               0.007591,               0.007591,               0.007591
                      8,                 3.2369,                 4.2083,                 2.8899,                 1.2916,                0.03122,                0.13416,                0.01812,                0.00671,                0.02484,                0.11488,                0.01479,                0.00497,                 3.1111,                 3.9053,                    inf,                 1.2715,              0.0086879,              0.0086879,              0.0086879
                      9,                 3.1543,                 4.2067,                 2.9032,                 1.2915,                0.02871,                0.09021,                0.01478,                0.00556,                0.02917,                0.11257,                  0.015,                0.00543,                 3.1427,                 3.9724,                 29.475,                 1.3037,              0.0097845,              0.0097845,              0.0097845
                     10,                 3.1163,                 4.1081,                 2.6533,                 1.2647,                0.03278,                0.08173,                 0.0156,                0.00533,                0.02787,                0.07633,                0.01324,                0.00441,                 3.4057,                 3.9763,                 24.862,                 1.3202,              0.0099822,              0.0099822,              0.0099822
                     11,                 3.2841,                 4.1248,                  2.655,                  1.269,                  0.014,                0.06554,                0.00706,                0.00263,                0.01281,                0.05474,                0.00626,                  0.002,                 3.5221,                 4.7228,                    inf,                 1.3801,              0.0099822,              0.0099822,              0.0099822
                     12,                 3.2216,                 4.0349,                 2.7555,                 1.2278,                0.02605,                0.07479,                0.01181,                0.00409,                0.02439,                0.07864,                0.01196,                0.00418,                 3.3058,                 4.2592,                    inf,                 1.2232,              0.0099802,              0.0099802,              0.0099802
                     13,                 3.2002,                  4.071,                 2.5894,                 1.2084,                0.03708,                0.08558,                0.01561,                0.00542,                0.03383,                0.09175,                0.01425,                0.00443,                 3.1555,                  4.133,                 16.938,                 1.2746,              0.0099782,              0.0099782,              0.0099782
                     14,                 3.1419,                 3.9934,                 2.6218,                 1.2195,                0.11041,                0.10254,                0.05031,                0.01924,                0.08282,                0.08867,                0.03441,                0.01004,                 3.0604,                 4.1651,                 5.5471,                 1.2168,              0.0099762,              0.0099762,              0.0099762
                     15,                 3.1038,                 3.9123,                 2.6203,                  1.207,                0.11991,                 0.0879,                0.04622,                0.01544,                0.08716,                0.09483,                0.04004,                0.01308,                  3.081,                 3.9751,                 4.2776,                 1.1924,              0.0099743,              0.0099743,              0.0099743
                     16,                 3.0853,                  3.927,                 2.5209,                 1.2079,                0.13827,                0.09638,                0.05644,                0.02113,                0.08424,                 0.0771,                0.03159,                 0.0097,                 2.9381,                 3.7944,                 4.0891,                 1.1965,              0.0099723,              0.0099723,              0.0099723
                     17,                 3.0414,                 3.8616,                 2.5006,                 1.1831,                0.14913,                0.10257,                0.06186,                0.02248,                0.09943,                 0.0717,                0.03508,                0.01066,                 2.9817,                 3.7378,                 2.7464,                 1.1809,              0.0099703,              0.0099703,              0.0099703
                     18,                 3.0588,                 3.9231,                 2.4479,                 1.2153,                0.18664,                0.09329,                0.06659,                0.02309,                0.15579,                0.07787,                0.04344,                0.01387,                 3.0611,                 3.9344,                 2.8734,                 1.1951,              0.0099683,              0.0099683,              0.0099683
                     19,                   3.03,                 3.8704,                 2.3661,                 1.1556,                 0.1357,                0.09792,                0.05651,                0.02237,                0.11907,                0.06708,                0.03889,                0.01222,                 3.0191,                 3.8578,                 3.5832,                 1.1928,              0.0099663,              0.0099663,              0.0099663
                     20,                 2.9186,                 3.7449,                 2.2861,                 1.1844,                0.18118,                0.09792,                0.06782,                0.02385,                0.11122,                0.09561,                0.04956,                0.01381,                  3.001,                 4.0367,                 3.1136,                 1.2018,              0.0099644,              0.0099644,              0.0099644
