                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.8438,                 3.6665,                 2.2121,                 1.1335,                0.19812,                0.10177,                0.08487,                0.03328,                0.14294,                0.07556,                0.05401,                0.01791,                 2.8644,                 3.7187,                 2.3426,                 1.1716,              0.0099564,              0.0099564,              0.0099564
                     25,                 2.8662,                 3.7252,                 2.1937,                 1.1445,                0.21145,                0.10794,                0.08411,                 0.0325,                0.14459,                 0.0771,                  0.047,                0.01744,                 2.8641,                 3.6502,                 2.4197,                 1.1474,              0.0099545,              0.0099545,              0.0099545
                     26,                 2.8792,                 3.7083,                 2.2498,                 1.1848,                  0.218,                0.11499,                0.08402,                0.03386,                0.16531,                0.07633,                0.05271,                0.01623,                 2.8885,                 3.7366,                 2.4538,                 1.1725,              0.0099525,              0.0099525,              0.0099525
                     27,                 2.7435,                 3.6502,                 2.1439,                 1.1476,                0.23242,                0.11719,                 0.0999,                0.03984,                0.18057,                0.09715,                0.06525,                0.02021,                 2.8269,                 3.6105,                 2.2804,                 1.1668,              0.0099505,              0.0099505,              0.0099505
                     28,                 2.7116,                 3.6522,                  2.028,                 1.1116,                 0.2289,                0.10794,                0.08722,                0.03312,                0.17067,                0.07941,                0.05281,                0.01453,                 2.8571,                  3.709,                 2.3019,                 1.1702,              0.0099485,              0.0099485,              0.0099485
                     29,                 2.7349,                 3.6714,                 2.0674,                 1.1045,                0.22465,                0.10794,                0.09354,                 0.0349,                0.15741,                 0.0825,                0.05643,                0.01712,                  2.846,                  3.571,                 2.3087,                 1.1648,              0.0099465,              0.0099465,              0.0099465
                     30,                 2.7964,                 3.6161,                 2.0882,                 1.1156,                0.18363,                0.11874,                 0.0856,                0.03179,                0.15174,                0.10023,                0.05645,                0.01749,                 2.9144,                 3.7715,                  2.343,                 1.1744,              0.0099446,              0.0099446,              0.0099446
                     31,                 2.6523,                 3.5658,                 2.0124,                 1.1167,                0.12753,                0.07941,                0.05459,                0.01833,                0.10093,                0.06399,                0.03298,                0.00994,                 3.1095,                 4.2418,                 2.5109,                   1.18,              0.0099426,              0.0099426,              0.0099426
                     32,                 2.6671,                 3.6169,                 2.0171,                  1.112,                0.15765,                0.11103,                 0.0751,                0.02836,                0.10467,                 0.0879,                0.04303,                0.01262,                 2.9918,                 3.7776,                 2.4458,                 1.1484,              0.0099406,              0.0099406,              0.0099406
                     33,                 2.6364,                 3.5184,                 1.9249,                 1.0956,                0.16557,                0.11025,                0.08201,                 0.0318,                0.11135,                0.08635,                0.04614,                0.01418,                 2.9173,                 3.6697,                 2.4091,                 1.1266,              0.0099386,              0.0099386,              0.0099386
