                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4699,                 3.2085,                 12.045,                 2.0884,                0.00074,                0.01583,                0.00045,                0.00012,                0.00045,                0.00967,                0.00023,                  8e-05,                 2.7628,                 1.2774,                 13.942,                 1.2149,              0.0033105,              0.0033105,              0.0033105
                      2,                 4.3649,                  3.265,                 4.5851,                 1.6809,                0.00204,                0.00704,                0.00103,                0.00021,                0.00025,                0.00088,                0.00014,                  1e-05,                  2.928,                  1.347,                 4.1046,                 1.1951,              0.0066425,              0.0066425,              0.0066425
                      3,                 4.3198,                 3.3316,                 4.2692,                 1.5749,                0.00143,                0.03254,                0.00117,                0.00035,                0.00089,                0.02023,                0.00088,                 0.0002,                 2.7218,                 1.3194,                 12.638,                 1.1392,              0.0099732,              0.0099732,              0.0099732
                      4,                  4.421,                 3.2375,                 4.3299,                 1.5525,                 0.0009,                0.01495,                0.00046,                0.00011,                0.00085,                0.01407,                0.00044,                 0.0001,                 2.7854,                 2.2921,                 13.547,                 1.1603,              0.0099941,              0.0099941,              0.0099941
                      5,                 4.4644,                 3.4078,                 4.3529,                 1.5255,                0.00083,                0.01231,                0.00044,                0.00011,                0.00024,                0.00352,                0.00014,                  5e-05,                 2.8034,                 1.3351,                 7.1446,                0.99485,              0.0099941,              0.0099941,              0.0099941
                      6,                 4.4903,                 3.5748,                 5.8047,                 1.5258,                0.00016,                0.00352,                  8e-05,                  2e-05,                      0,                      0,                      0,                      0,                  2.876,                 1.2299,                 10.772,                 1.2211,              0.0099921,              0.0099921,              0.0099921
                      7,                  4.546,                 3.2683,                 4.5105,                 1.5131,                0.00016,                0.00352,                  8e-05,                  2e-05,                      0,                      0,                      0,                      0,                 2.8213,                  1.325,                 2.9002,                0.96093,              0.0099901,              0.0099901,              0.0099901
                      8,                 4.5675,                 3.5262,                 4.5623,                 1.5127,                 0.0002,                0.00528,                0.00011,                  3e-05,                0.00014,                0.00352,                  7e-05,                  2e-05,                  2.863,                 1.3619,                 17.489,                 1.0397,              0.0099881,              0.0099881,              0.0099881
                      9,                 4.5799,                 3.5034,                 4.4685,                 1.4964,                0.00022,                0.00352,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                 2.9456,                 40.403,                 5.7106,                 1.0101,              0.0099861,              0.0099861,              0.0099861
                     10,                 4.5535,                 3.3917,                 4.5165,                  1.502,                0.00022,                0.00352,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                 2.2913,                 1.4773,                 2.3012,                0.87437,              0.0099842,              0.0099842,              0.0099842
                     11,                  4.527,                 3.5703,                 4.8504,                 1.5112,                0.00022,                0.00352,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                 2.7872,                 1.3295,                 2.5617,                0.90477,              0.0099822,              0.0099822,              0.0099822
                     12,                 4.5769,                 3.4603,                  4.588,                 1.4339,                0.00022,                0.00352,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                  2.818,                 1.1926,                 2.6088,                0.91493,              0.0099802,              0.0099802,              0.0099802
                     13,                 4.5539,                 3.3925,                 4.5393,                   1.43,                0.00022,                0.00352,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                 2.2292,                 1.0697,                 15.892,                0.70994,              0.0099782,              0.0099782,              0.0099782
                     14,                 4.5247,                 3.4622,                 4.5057,                 1.4173,                0.00022,                0.00352,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                 2.8321,                  1.328,                 2.5553,                 0.9814,              0.0099762,              0.0099762,              0.0099762
                     15,                 4.5263,                 3.4744,                 4.4959,                 1.4376,                0.00022,                0.00352,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                 2.7782,                 1.3411,                 2.4938,                 0.8887,              0.0099743,              0.0099743,              0.0099743
                     16,                 4.5357,                 3.4365,                 4.5243,                  1.446,                0.00022,                0.00352,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                 2.8303,                 1.2991,                 14.935,                 1.2533,              0.0099723,              0.0099723,              0.0099723
                     17,                  4.518,                 3.3148,                   4.67,                 1.4491,                0.00071,                0.00264,                0.00036,                  7e-05,                      0,                      0,                      0,                      0,                 2.8321,                 1.2447,                 2.5841,                 1.0541,              0.0099703,              0.0099703,              0.0099703
                     18,                 4.5414,                 3.5068,                 4.6662,                 1.4259,                0.00071,                0.00264,                0.00036,                  7e-05,                      0,                      0,                      0,                      0,                  2.828,                  1.387,                 9.1157,                0.91211,              0.0099683,              0.0099683,              0.0099683
